,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,puerto escondido,86,ES,1586377624,55,36.59,-6.23,64.4,2.24
139,huarmey,7,PE,1586377654,61,-10.07,-78.15,79.84,9.69
140,acapulco,40,MX,1586377173,66,16.86,-99.89,86.0,9.17
141,ribeira grande,100,ES,1586377654,87,42.75,-8.44,62.01,2.24
142,kuytun,0,RU,1586377404,63,54.34,101.5,36.91,9.46
143,copiapo,40,CL,1586377263,53,-27.37,-70.33,73.4,8.05
144,xiangxiang,0,CN,1586377655,67,27.73,112.53,60.26,1.79
145,grenada,100,ES,1586377433,52,37.19,-3.61,66.99,12.75
146,zonguldak,61,TR,1586377655,79,41.25,31.83,40.37,1.45
147,nanortalik,99,GL,1586377371,84,60.14,-45.24,34.11,14.47
148,tual,99,ID,1586377448,72,-5.67,132.75,82.92,6.17
149,grand river south east,1,US,1586377656,12,38.88,-109.5,72.0,6.93
150,raton,1,US,1586377447,11,36.9,-104.44,73.4,14.99
151,markovo,0,RU,1586377656,81,57.32,107.09,32.74,2.98
152,airai,96,TL,1586377172,68,-8.93,125.41,60.66,1.28
153,flin flon,4,FR,1586377657,50,48.5,6.66,60.8,1.12
154,kisangani,73,CD,1586377657,69,0.52,25.2,77.41,3.89
155,paamiut,97,GL,1586377334,83,61.99,-49.67,32.86,6.02
156,westport,90,US,1586377205,76,41.14,-73.36,64.0,9.17
157,soloneshnoye,100,RU,1586377658,76,51.65,84.32,35.24,0.18
158,kovdor,67,RU,1586377658,88,67.57,30.48,30.79,12.68
159,kodiak,1,US,1586377113,59,57.79,-152.41,33.8,20.8
160,okhotsk,5,RU,1586377658,90,59.38,143.3,24.53,17.22
161,tilichiki,0,RU,1586377126,91,60.47,166.1,7.12,5.26
162,banda aceh,52,IN,1586377659,26,25.48,80.33,81.75,2.91
163,ambon,100,ID,1586377659,73,-3.7,128.18,82.27,6.53
164,saltpond,19,GH,1586377659,86,5.21,-1.06,81.55,8.12
165,tuktoyaktuk,20,CA,1586377264,71,69.45,-133.04,6.8,9.17
166,caravelas,81,BR,1586377659,84,-17.71,-39.25,79.74,10.71
167,yarensk,99,RU,1586377660,96,62.17,49.09,31.28,6.08
168,carnarvon,59,AU,1586377222,83,-24.87,113.63,71.6,6.93
169,abu samrah,0,IN,1586377660,24,24.6,72.7,66.04,2.75
170,san vicente,15,ML,1586377592,11,13.3,-4.9,87.8,4.59
171,portland,20,US,1586377530,44,45.52,-122.68,68.0,10.29
172,katangli,0,RU,1586377661,95,51.71,143.23,21.36,6.26
173,vila do maio,75,PT,1586377661,82,42.03,-8.16,62.01,2.24
174,victoria,20,HK,1586377619,64,22.29,114.16,69.8,9.17
175,dikson,100,RU,1586377117,98,73.51,80.55,21.47,20.42
176,orlik,6,RU,1586377662,64,52.52,99.83,22.26,3.38
177,sisimiut,0,GL,1586377144,90,66.94,-53.67,24.26,5.23
178,anaconda,1,US,1586377662,17,46.13,-112.94,53.6,8.05
179,qaanaaq,100,GL,1586377662,85,77.48,-69.36,16.61,9.44
180,kokopo,91,PG,1586377662,76,-4.35,152.26,80.58,3.0
181,buin,0,CL,1586377663,38,-33.73,-70.75,77.0,16.11
182,winsum,8,NL,1586377663,66,53.33,6.52,55.99,3.36
183,shambu,39,ET,1586377663,29,9.57,37.1,60.71,2.73
184,thompson,75,CA,1586377663,55,55.74,-97.86,33.8,9.17
185,dickinson,75,US,1586377664,66,29.46,-95.05,88.0,4.7
186,moussoro,15,TD,1586377664,11,13.64,16.49,86.7,14.12
187,cocal,0,BR,1586377664,62,-28.62,-49.35,62.15,6.15
188,mar del plata,7,ES,1586377664,93,43.4,-4.01,57.99,4.7
189,sobolevo,0,RU,1586377108,79,54.43,31.9,41.54,4.97
190,olafsvik,78,IS,1586377374,85,64.89,-23.71,33.85,7.83
191,limoges,63,FR,1586377665,51,45.75,1.33,60.8,2.24
192,nyagan,100,RU,1586377665,96,62.14,65.39,21.88,12.01
193,kieta,56,PG,1586377420,77,-6.22,155.63,81.14,3.2
194,kargopol,99,RU,1586377219,83,61.51,38.95,34.65,7.58
195,tomatlan,49,MX,1586377666,22,19.93,-105.25,92.95,8.57
196,karpathos,49,GR,1586377666,76,35.51,27.21,57.2,16.11
197,revda,0,RU,1586377666,45,56.8,59.93,24.8,8.95
198,chuy,43,UY,1586377128,74,-33.7,-53.46,61.97,14.36
199,saint-philippe,75,RE,1586377094,78,-21.36,55.77,77.0,6.93
200,wadi maliz,5,IN,1586377667,17,17.07,76.98,82.96,6.11
201,kaitangata,100,NZ,1586377667,70,-46.28,169.85,50.0,1.01
202,guozhen,100,CN,1586377667,29,34.37,107.36,57.65,3.31
203,namibe,0,AO,1586377668,52,-15.2,12.15,75.07,10.96
204,catamarca,23,AR,1586377382,67,-28.47,-65.79,70.0,5.99
205,harsin,75,IR,1586377668,76,34.27,47.59,51.8,4.7
206,minot,90,US,1586377550,48,48.23,-101.3,41.0,35.57
207,itoman,20,JP,1586377668,72,26.12,127.67,64.4,3.36
208,isangel,22,VU,1586377134,74,-19.55,169.27,77.85,16.04
209,pangnirtung,20,CA,1586377173,73,66.15,-65.71,21.2,2.24
210,ous,16,RU,1586377669,93,60.91,61.52,20.17,7.45
211,kalyazin,0,RU,1586377669,88,57.24,37.84,36.66,5.82
212,carlsbad,40,US,1586377670,63,33.16,-117.35,61.0,10.29
213,zyryanka,99,RU,1586377670,93,65.75,150.85,8.53,17.63
214,taquarituba,1,BR,1586377670,63,-23.53,-49.24,69.76,4.56
215,manturovo,99,RU,1586377670,82,58.34,44.76,36.77,7.18
216,rawlins,1,US,1586377499,19,41.79,-107.24,59.0,20.8
217,jalu,100,LY,1586377214,32,29.03,21.55,67.95,7.83
218,voh,6,NC,1586377671,80,-20.97,164.7,76.21,8.7
219,ikongo,18,MG,1586377671,84,-21.88,47.43,69.46,0.92
220,norman wells,1,US,1586377671,21,35.22,-97.44,91.4,10.29
221,mitsamiouli,16,KM,1586377236,71,-11.38,43.28,83.8,8.14
222,ngunguru,63,NZ,1586377082,81,-35.62,174.5,61.0,5.99
223,cap malheureux,12,FR,1586377672,87,49.27,-1.21,57.99,4.65
224,sessa aurunca,0,IT,1586377672,50,46.0,8.82,61.0,2.24
225,pontianak,92,ID,1586377673,89,-0.03,109.33,76.35,3.4
226,at-bashi,93,KG,1586377673,27,41.17,75.81,39.85,8.59
227,nouadhibou,0,MR,1586377163,73,20.93,-17.03,69.8,19.46
228,margate,11,GB,1586377159,87,51.38,1.39,55.99,3.36
229,curup,91,ID,1586377673,76,-3.47,102.53,68.05,1.59
230,opuwo,42,NA,1586377674,26,-18.06,13.84,70.27,3.76
231,kattivakkam,40,IN,1586377674,83,13.22,80.32,84.2,4.7
232,padang,81,ID,1586377439,75,-0.95,100.35,77.41,3.62
233,berea,1,US,1586377674,52,41.37,-81.85,69.8,3.13
234,skjervoy,90,NO,1586377401,100,70.03,20.97,33.8,10.29
235,dunedin,100,NZ,1586376914,70,-45.87,170.5,51.01,1.99
236,gizo,81,SB,1586377675,76,-8.1,156.84,82.72,8.52
237,upernavik,7,GL,1586377675,86,72.79,-56.15,15.13,2.95
238,yarmouth,90,US,1586377675,76,41.71,-70.23,52.0,11.41
239,hasaki,20,JP,1586377676,93,35.73,140.83,48.2,8.05
240,salalah,0,OM,1586377676,83,17.02,54.09,80.6,4.7
241,maarianhamina,100,AX,1586377676,61,60.1,19.93,46.4,13.87
242,svetlyy,89,RU,1586377676,75,54.67,20.13,42.8,2.24
243,labytnangi,100,RU,1586377486,92,66.66,66.42,15.66,15.88
244,mantua,0,IT,1586377677,32,45.17,10.78,60.8,3.36
245,lima,0,PE,1586377203,73,-12.04,-77.03,77.0,16.11
246,lagoa,0,PT,1586377678,86,39.05,-27.98,60.96,11.3
247,fukue,60,JP,1586377678,55,32.69,128.84,56.91,17.43
248,boone,1,US,1586377678,31,39.03,-92.33,87.8,14.99
249,krasnoselkup,98,RU,1586377166,96,65.7,82.47,25.23,18.66
250,tiksi,33,RU,1586377349,91,71.69,128.87,5.13,4.76
251,bac lieu,0,RS,1586377528,39,45.39,19.24,48.99,5.82
252,biak,61,ID,1586377679,72,-0.91,122.88,79.39,4.21
253,kontagora,85,NG,1586377679,45,10.4,5.47,85.26,6.58
254,usinsk,93,RU,1586377679,97,65.99,57.53,16.59,10.36
255,parry sound,75,US,1586377680,58,35.88,-86.88,82.4,6.93
256,camacha,40,PT,1586377103,82,33.08,-16.33,69.8,12.75
257,olinda,20,BR,1586377680,70,-8.01,-34.86,84.2,10.29
258,aviles,90,ES,1586377435,100,43.55,-5.92,57.0,6.93
259,mabaruma,99,GY,1586377681,63,8.2,-59.78,82.85,6.82
260,erdaojiang,94,CN,1586377681,85,41.78,126.03,30.42,2.39
261,haimen,32,CN,1586377681,82,23.19,116.61,59.0,6.71
262,ardahan,0,TR,1586377681,46,41.11,42.7,29.26,5.57
263,diffa,2,NE,1586377682,13,13.32,12.61,85.98,10.58
264,kodinsk,94,RU,1586377682,84,58.69,99.18,35.31,4.32
265,komsomolskiy,90,UZ,1586377405,80,40.43,71.72,39.2,9.17
266,garissa,16,KE,1586377682,68,-0.45,39.64,81.61,13.69
267,havre-saint-pierre,75,CA,1586377682,92,50.23,-63.6,32.0,16.11
268,beloha,43,MG,1586377683,85,-25.17,45.05,73.0,8.03
269,lata,100,PT,1586377450,90,40.16,-8.33,62.01,1.66
270,warrnambool,2,AU,1586377683,96,-38.38,142.48,48.0,8.9
271,zambezi,0,ZM,1586377683,67,-13.54,23.1,65.61,5.26
272,balaipungut,97,ID,1586377684,95,1.05,101.28,74.8,1.72
273,zychlin,0,PL,1586377684,54,52.24,19.63,57.0,2.24
274,evensk,100,RU,1586377323,86,61.95,159.23,15.42,2.37
275,honiara,20,SB,1586377685,94,-9.43,159.95,75.2,3.36
276,havoysund,75,NO,1586377685,95,71.0,24.66,35.6,18.34
277,kapoeta,4,SS,1586377685,33,4.77,33.59,86.76,13.94
278,cam ranh,0,AR,1586377686,25,-38.98,-67.82,77.0,11.41
279,constitucion,42,CL,1586377325,67,-35.33,-72.42,61.07,4.63
280,menongue,0,AO,1586377292,47,-14.66,17.69,64.8,3.42
281,prainha,98,BR,1586377686,91,-1.8,-53.48,78.3,2.26
282,birr,100,IE,1586377686,88,53.09,-7.91,53.01,5.01
283,saint-georges,40,GD,1586377687,70,12.06,-61.75,84.2,18.34
284,toora-khem,10,RU,1586377687,67,52.47,96.11,29.84,3.09
285,vanavara,0,RU,1586377687,84,60.34,102.28,32.79,4.47
286,tsaratanana,4,MG,1586377687,71,-16.78,47.65,71.98,6.24
287,tulum,5,MX,1586377687,52,20.22,-87.47,90.0,6.93
288,soyo,16,AO,1586377688,83,-6.13,12.37,80.02,7.2
289,tongchuan,0,CN,1586377688,34,35.08,109.09,50.92,1.23
290,faanui,69,PF,1586377192,75,-16.48,-151.75,83.16,13.11
291,hambantota,15,LK,1586377140,79,6.12,81.12,79.7,5.01
292,oskarshamn,98,SE,1586377689,61,57.26,16.45,48.99,8.05
293,hamilton,40,US,1586376860,32,39.18,-84.53,81.0,9.17
294,zbiroh,0,CZ,1586377689,34,49.86,13.77,59.0,2.73
295,kachug,0,RU,1586377690,71,53.96,105.88,33.96,1.19
296,pisco,40,PE,1586377366,30,-13.7,-76.22,75.99,9.17
297,biltine,20,TD,1586377690,10,14.53,20.92,87.62,14.83
298,biloela,51,AU,1586377690,79,-24.42,150.5,67.44,9.84
299,mandi bahauddin,38,IN,1586377691,30,31.72,76.92,56.95,5.06
300,rio gallegos,20,GR,1586377691,53,38.3,21.78,53.6,4.7
301,kapit,50,MY,1586377691,93,2.02,112.93,72.91,0.83
302,tessalit,0,ML,1586377692,11,20.2,1.01,81.05,6.02
303,peniche,75,PT,1586377692,82,39.36,-9.38,63.0,5.82
304,leshukonskoye,86,RU,1586377693,97,64.9,45.76,30.88,8.16
305,cockburn town,0,AU,1586377693,76,-32.08,141.0,48.2,4.7
306,kenai,1,US,1586377280,46,60.55,-151.26,32.0,9.17
307,taoudenni,0,ML,1586377694,12,22.68,-3.98,84.27,12.15
308,minsk,68,BY,1586377518,60,53.9,27.57,39.2,2.24
309,kavieng,11,PG,1586377097,75,-2.57,150.8,82.99,5.48
310,georgetown,40,MY,1586377467,83,5.41,100.34,82.4,3.36
311,mahebourg,75,MU,1586377695,78,-20.41,57.7,80.6,8.05
312,tanabe,0,JP,1586377696,73,33.73,135.37,46.99,8.3
313,sitka,90,US,1586377696,87,57.05,-135.33,44.6,20.8
314,atbasar,0,KZ,1586377696,89,51.8,68.33,28.27,11.7
315,porto santo,90,PT,1586377658,87,41.15,-8.61,62.01,5.82
316,botro,75,CI,1586377697,88,7.85,-5.31,73.4,9.17
317,coihaique,0,CL,1586377697,52,-45.58,-72.07,71.6,3.36
318,springbok,88,ZA,1586377143,23,-29.66,17.89,59.31,6.35
319,impfondo,92,CG,1586377697,88,1.64,18.07,74.07,1.25
320,cangzhou,100,CN,1586377698,61,38.32,116.87,45.84,11.99
321,svetlogorsk,15,BY,1586377698,72,52.63,29.73,43.93,1.1
322,beringovskiy,0,RU,1586377333,88,63.05,179.32,12.92,1.9
323,flinders,48,AU,1586377415,93,-34.58,150.86,61.0,8.05
324,belaya gora,0,UA,1586377698,49,49.03,25.77,51.03,4.56
325,barabai,99,ID,1586377699,95,-2.58,115.38,74.28,3.62
326,port lincoln,96,CD,1586377699,63,-7.03,29.76,74.05,9.53
327,yumen,0,CN,1586377700,26,40.28,97.2,46.44,3.58
328,bom jardim,75,ML,1586377700,10,14.95,-2.93,87.42,9.15
329,karratha,49,AU,1586377700,65,-20.74,116.85,79.92,4.32
330,solnechnyy,0,RU,1586377701,89,50.72,136.63,23.77,3.96
331,buala,37,SB,1586377400,75,-8.14,159.59,82.22,3.85
332,cabo san lucas,20,BR,1586377701,70,-8.28,-35.03,84.2,10.29
333,ilulissat,0,GL,1586377701,62,69.22,-51.1,19.4,2.24
334,sovetskiy,96,RU,1586377448,93,61.36,63.58,20.39,10.16
335,laguna,20,US,1586377221,63,38.42,-121.42,66.99,4.7
336,baoshan,100,CN,1586377702,92,46.56,131.42,32.18,2.71
337,arlit,98,NE,1586377702,11,18.74,7.39,88.2,14.12
338,baruun-urt,0,MN,1586377703,65,46.68,113.28,24.46,4.41
339,namtsy,100,RU,1586377703,54,62.72,129.67,28.4,6.71
340,doha,0,QA,1586377442,51,25.29,51.53,84.99,12.75
341,lagos,40,NG,1586377464,83,6.58,3.75,84.2,8.05
342,quelimane,75,MZ,1586377704,83,-17.88,36.89,82.4,8.05
343,khatanga,100,RU,1586377446,97,71.97,102.5,29.37,11.61
344,bristol,75,US,1586377653,50,41.83,-71.17,55.99,4.7
345,bathsheba,40,BB,1586377258,58,13.22,-59.52,86.0,18.34
346,san jose,15,ML,1586377705,11,13.3,-4.9,87.8,4.59
347,clyde river,1,US,1586377705,52,41.3,-82.98,72.0,5.82
348,hovd,0,MN,1586377705,39,48.01,91.64,37.69,3.09
349,bundaberg,90,AU,1586377705,88,-24.85,152.35,69.01,8.05
350,inhambane,75,MZ,1586377706,83,-23.86,35.38,75.2,4.7
351,arman,100,RU,1586377417,92,59.7,150.17,20.75,3.71
352,kasongo-lunda,77,CD,1586377706,65,-6.47,16.82,74.66,0.16
353,trairi,94,BR,1586377706,81,-3.28,-39.27,81.46,10.63
354,codrington,3,AU,1586377230,86,-38.27,141.97,54.99,10.54
355,moorhead,90,US,1586377414,52,46.87,-96.77,44.6,26.4
356,salinas,90,US,1586377611,71,36.68,-121.66,62.01,9.17
357,mattawa,1,US,1586377707,19,46.74,-119.9,68.0,5.82
358,adrar,0,MR,1586377405,12,20.5,-10.07,83.19,9.31
359,huilong,18,CN,1586377354,66,31.81,121.66,62.01,8.9
360,pozo colorado,40,CU,1586377707,46,22.45,-80.18,93.2,12.75
361,moose factory,1,US,1586377708,31,43.66,-110.72,51.8,5.82
362,yuryevets,47,RU,1586377708,87,57.32,43.1,36.95,7.56
363,guerrero negro,69,MX,1586377708,12,17.67,-100.0,96.06,3.06
364,atarra,66,IN,1586377709,26,25.28,80.57,80.91,2.48
365,paducah,20,US,1586377709,58,37.08,-88.6,84.0,6.93
366,berdigestyakh,99,RU,1586377709,97,62.1,126.7,29.44,4.38
367,balikpapan,20,ID,1586377709,100,-1.27,116.83,77.0,3.36
368,westerland,17,DE,1586377710,83,54.91,8.3,48.99,3.0
369,teacapan,46,MX,1586377710,43,22.55,-105.75,86.77,14.56
370,sao geraldo do araguaia,0,IN,1586377710,21,20.51,76.21,77.83,8.37
371,talin,73,EE,1586377648,65,59.44,24.75,46.0,12.75
372,oltu,0,TR,1586377710,39,40.55,42.0,38.79,5.46
373,lalibela,0,ET,1586377711,21,12.03,39.03,63.75,7.65
374,ancud,0,CL,1586377711,31,-41.87,-73.82,73.4,8.05
375,puerto boyaca,86,ES,1586377711,55,36.59,-6.23,64.4,2.24
376,maragogi,3,BR,1586377711,72,-9.01,-35.22,80.82,8.52
377,mount isa,5,GB,1586377711,58,53.66,-1.85,60.01,5.82
378,kayes,0,ML,1586377712,10,14.0,-11.0,90.99,4.85
379,raymondville,1,US,1586377712,46,26.48,-97.78,93.0,6.93
380,faya,0,SA,1586377712,59,18.39,42.45,68.0,2.44
381,matongo,24,TZ,1586377599,62,-2.38,34.08,65.1,3.96
382,shinjo,95,JP,1586377713,78,38.76,140.3,39.36,6.13
383,awjilah,100,LY,1586377142,36,29.11,21.29,67.01,10.71
384,srednekolymsk,94,RU,1586377190,91,67.45,153.68,0.14,9.48
385,kristiinankaupunki,100,FI,1586377714,88,62.27,21.38,38.08,8.61
386,zhezkazgan,10,KZ,1586377714,65,47.8,67.71,32.68,8.23
387,bondo,100,CD,1586377714,83,3.81,23.69,70.47,2.59
388,trinidad,40,BO,1586377714,62,-14.83,-64.9,86.0,9.17
